time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2021-05-10,34.7,30.0,40.0,37,,,3.8,,1005.5,,
2021-05-11,35.1,28.9,41.5,34,,,3.9,,1005.7,,
2021-05-12,35.4,29.3,41.4,35,,,4.0,,1005.1,,
2021-05-13,35.6,30.0,41.8,36,,,2.4,,1004.9,,
2021-05-14,35.1,29.5,41.7,31,,,2.9,,1005.1,,
2021-05-15,33.7,27.3,40.8,30,,,2.3,,1004.2,,
2021-05-16,34.1,26.8,41.5,32,,,2.0,,1003.8,,
2021-05-17,34.7,27.0,42.1,27,,,1.8,,1004.7,,
2021-05-18,35.0,27.4,42.5,28,,,1.6,,1004.6,,
2021-05-19,34.8,28.5,40.9,34,,,1.6,,1004.7,,
2021-05-20,36.2,29.8,42.6,31,,,2.0,,1004.1,,
2021-05-21,37.3,31.0,44.5,27,,,1.9,,1003.5,,
2021-05-22,36.0,30.7,41.9,32,,,2.1,,1004.1,,
2021-05-23,35.1,30.1,41.3,38,,,2.1,,1003.9,,
2021-05-24,35.0,30.0,40.4,38,,,2.5,,1005.6,,
2021-05-25,35.8,30.3,42.0,36,,,2.1,,1005.6,,
2021-05-26,37.0,31.4,43.4,33,,,2.6,,1003.9,,
2021-05-27,30.6,17.1,39.4,29,,,8.0,,1003.9,,
2021-05-28,34.3,28.7,40.4,39,,,4.7,,1005.6,,
2021-05-29,35.6,31.5,41.0,41,,,2.7,,1006.1,,
2021-05-30,36.5,31.7,42.7,38,,,2.7,,1005.8,,
2021-05-31,38.1,32.6,45.0,35,,,3.4,,1003.1,,
2021-06-01,39.3,33.4,46.0,31,,,3.6,,1000.8,,
2021-06-02,38.2,33.3,43.7,36,,,4.1,,1002.1,,
2021-06-03,37.2,32.7,43.2,43,,,3.6,,1003.8,,
2021-06-04,36.1,31.8,41.9,50,,,3.4,,1004.5,,
2021-06-05,35.3,30.8,41.3,53,,,3.1,,1004.9,,
2021-06-06,34.9,30.4,40.7,52,,,2.8,,1005.2,,
2021-06-07,36.2,31.1,43.3,46,,,2.4,,1004.3,,
2021-06-08,36.8,31.6,43.4,44,,,3.6,,1002.6,,
2021-06-09,37.7,32.2,44.7,41,,,2.7,,1002.1,,
2021-06-10,38.2,32.8,45.1,33,,,3.5,,1001.5,,
2021-06-11,38.5,32.6,46.0,30,,,3.4,,1000.6,,
2021-06-12,38.6,33.6,44.7,33,,,4.5,,1000.4,,
2021-06-13,38.9,33.6,45.1,34,,,4.5,,1001.8,,
2021-06-14,38.9,33.1,45.5,31,,,3.7,,1002.3,,
2021-06-15,37.0,31.6,43.6,34,,,2.1,,1002.6,,
2021-06-16,35.9,31.1,42.4,36,,,2.9,,1003.3,,
2021-06-17,36.1,31.9,42.7,36,,,3.1,,1004.1,,
2021-06-18,36.8,31.9,44.1,36,,,2.8,,1003.4,,
2021-06-19,37.5,31.9,45.0,34,,,2.8,,1003.1,,
2021-06-20,37.2,32.5,43.9,32,,,3.1,,1003.2,,
2021-06-21,37.1,32.5,44.0,30,,,3.6,,1003.1,,
2021-06-22,38.4,32.7,47.1,28,,,3.0,,1002.0,,
2021-06-23,37.6,32.5,43.7,33,,,3.2,,1001.7,,
2021-06-24,37.1,32.3,43.1,39,,,3.6,,1002.4,,
2021-06-25,36.4,31.5,42.2,45,,,3.4,,1002.0,,
2021-06-26,37.8,32.1,45.3,39,,,2.5,,999.9,,
2021-06-27,38.1,32.1,45.7,35,,,2.3,,999.7,,
2021-06-28,37.3,31.5,43.7,38,,,3.3,,1001.8,,
